ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Date,ICE_Completed Date,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ReceivedDate,CRIMSON_ClosedDate,CRIMSON_DataController
IC-266437-J1D5,Online Technology and Telecoms,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,22/10/2023,20/11/2023,IC/0488/2023,No further action,20/11/2023,12/01/2024,Nasstar Services Limited
IC-258741-Z6L5,Education and childcare,Training Company,Personal Data Breach,Investigation Pursued,GDPR,15/09/2023,31/10/2023,IC/0460/2023,No further action,31/10/2023,26/01/2024,Agilitas IT Solutions Limited
IC-259679-D4C2,Charitable and voluntary,National charities,Personal Data Breach,Investigation Pursued,GDPR,25/09/2023,16/11/2023,IC/0485/2023,No further action,16/11/2023,07/02/2024,The Guide Association
IC-266740-K5G6,Charitable and voluntary,Local charities,Personal Data Breach,Investigation Pursued,GDPR,25/10/2023,22/11/2023,IC/0491/2023,No further action,22/11/2023,15/02/2024,St Raphael's Hospice
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IC/0018/2024,No further action,12/01/2024,20/02/2024,Shorts Chartered Accountants
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IC/0018/2024,No further action,12/01/2024,20/02/2024,Shorts Financial Services LLP
IC-269790-R2L7,"Finance, insurance and credit",Financial services and advice,Personal Data Breach,Investigation Pursued,GDPR,10/11/2023,14/12/2023,IC/0516/2023,No further action,14/12/2023,21/02/2024,London & Zurich Limited
IC-253250-D6T4,Utilities,Utility companies,Personal Data Breach,Investigation Pursued,GDPR,18/08/2023,08/01/2024,IC/0009/2024,No further action,08/01/2024,23/02/2024,British Gas Trading Limited
IC-261689-S5S2,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,30/09/2023,12/01/2024,IC/0015/2024,No further action,12/01/2024,27/02/2024,LCF Law Limited
IC-259929-B7X3,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,22/09/2023,19/01/2024,IC/0029/2024,No further action,23/01/2024,04/03/2024,Raeburn Christie Clark & Wallace LLP
IC-279884-X5R7,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,05/01/2024,03/02/2024,IC/0045/2024,No further action,05/02/2024,06/03/2024,LUSH
IC-279528-W1G7,"Finance, insurance and credit",Accountancy and Payroll,Personal Data Breach,Investigation Pursued,GDPR,05/01/2024,26/01/2024,IC/0039/2024,No further action,26/01/2024,08/03/2024,Hallidays Group Limited
IC-261122-V6W3,Land or property services,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,28/09/2023,12/01/2024,IC/0016/2024,No further action,12/01/2024,11/03/2024,Johnson Controls Building Efficiency UK Ltd
IC-283013-W2H4,Charitable and voluntary,National charities,Personal Data Breach,Investigation Pursued,GDPR,18/01/2024,16/02/2024,IC/0068/2024,No further action,16/02/2024,12/03/2024,Richmond Fellowship Scotland
IC-282907-N3K6,Membership association,Employment and Trade Unions,Personal Data Breach,Investigation Pursued,GDPR,18/01/2024,14/02/2024,IC/0055/2024,No further action,13/02/2024,21/03/2024,Unite The Union
IC-275449-Q3V6,"Finance, insurance and credit",Accountancy and Payroll,Personal Data Breach,Investigation Pursued,GDPR,06/12/2023,25/01/2024,IC/0037/2024,No further action,25/01/2024,27/03/2024,Xeinadin Uk Professional Services Limited
